,mpg,cyl,displ,hp,weight,accel,yr,origin,name,make,L100,mpg_lr,lr
282,20.6,6,225.0,110,3360,16.6,79,American,dodge aspen 6,dodge,11.397214014352047,23.454666148611498,-2.8546661486114964
59,20.0,4,140.0,90,2408,19.5,72,American,chevrolet vega,chevrolet,11.739130434782608,25.056728697070692,-5.056728697070692
295,25.4,5,183.0,77,3530,20.1,79,European,mercedes benz 300d,mercedes-benz,9.243409791167409,21.98506799748684,3.414932002513158
24,21.0,6,199.0,90,2648,15.0,70,American,amc gremlin,amc,11.180124223602483,20.556182068559576,0.4438179314404245
13,14.0,8,455.0,225,3086,10.0,70,American,buick estate wagon (sw),buick,16.770186335403725,20.540657379863216,-6.540657379863216
337,23.5,6,173.0,110,2725,12.6,81,American,chevrolet citation,chevrolet,9.990749306197964,28.84321132347065,-5.343211323470651
335,26.6,4,151.0,84,2635,16.4,81,American,buick skylark,buick,8.826413860738802,29.745382671726002,-3.1453826717260007
79,22.0,4,122.0,86,2395,16.0,72,American,ford pinto (sw),ford,10.67193675889328,24.295088991612214,-2.2950889916122144
150,19.0,6,225.0,95,3264,16.0,75,American,plymouth valiant custom,plymouth,12.356979405034323,20.390744640426366,-1.390744640426366
20,25.0,4,110.0,87,2672,17.5,70,European,peugeot 504,peugeot,9.391304347826088,20.98390061559871,4.01609938440129
344,37.7,4,89.0,62,2050,17.3,81,Asian,toyota tercel,toyota,6.227655403067696,33.47092780200836,4.229072197991641
229,15.5,8,400.0,190,4325,12.2,77,American,chrysler cordoba,chrysler,15.147265077138849,16.2739926879153,-0.7739926879152996
260,19.2,8,305.0,145,3425,13.2,78,American,chevrolet monte carlo landau,chevrolet,12.228260869565219,22.376928823577135,-3.1769288235771356
275,16.2,6,163.0,133,3410,15.8,78,European,peugeot 604sl,peugeot,14.492753623188406,22.763637081286735,-6.5636370812867355
210,16.5,8,350.0,180,4380,12.1,76,American,cadillac seville,cadillac,14.229249011857707,14.677417270238134,1.8225827297618657
42,13.0,8,400.0,170,4746,12.0,71,American,ford country squire (sw),ford,18.06020066889632,7.73764472268374,5.26235527731626
48,23.0,4,122.0,86,2220,14.0,71,American,mercury capri 2000,mercury,10.207939508506616,24.38242976989766,-1.3824297698976586
15,22.0,6,198.0,95,2833,15.5,70,American,plymouth duster,plymouth,10.67193675889328,19.44958425801296,2.5504157419870417
202,32.0,4,85.0,70,1990,17.0,76,Asian,datsun b-210,datsun,7.33695652173913,30.11714922048299,1.8828507795170104
227,16.0,8,400.0,180,4220,11.1,77,American,pontiac grand prix lj,pontiac,14.67391304347826,16.51310579996593,-0.5131057999659312
41,12.0,8,383.0,180,4955,11.5,71,American,dodge monaco (sw),dodge,19.565217391304348,6.386348062004945,5.613651937995055
31,25.0,4,113.0,95,2228,14.0,71,Asian,toyota corona,toyota,9.391304347826088,24.59175118349445,0.40824881650555156
269,23.2,4,156.0,105,2745,16.7,78,American,plymouth sapporo,plymouth,10.119940029985006,27.268775530080053,-4.068775530080053
286,18.2,8,318.0,135,3830,15.2,79,American,dodge st. regis,dodge,12.900143334925945,20.301930673367554,-2.101930673367555
329,29.8,4,89.0,62,1845,15.3,80,European,vokswagen rabbit,volkswagen,7.878611030055442,33.77916119322241,-3.9791611932224065
300,34.5,4,105.0,70,2150,14.9,79,American,plymouth horizon tc3,plymouth,6.805293005671078,30.926123099155607,3.573876900844393
252,20.2,6,200.0,85,2965,15.8,78,American,ford fairmont (auto),ford,11.622901420576842,24.595438786828854,-4.395438786828855
272,20.3,5,131.0,103,2830,15.9,78,European,audi 5000,audi,11.565645748554294,26.233177544547065,-5.933177544547064
191,24.0,6,200.0,81,3012,17.6,76,American,ford maverick,ford,9.782608695652174,22.898633112708804,1.1013668872911957
178,25.0,4,121.0,115,2671,13.5,75,European,saab 99le,saab,9.391304347826088,25.043473438690295,-0.043473438690295296
52,31.0,4,71.0,65,1773,19.0,71,Asian,toyota corolla 1200,toyota,7.5736325385694245,27.96854098891463,3.0314590110853707
82,28.0,4,98.0,80,2164,15.0,72,American,dodge colt (sw),dodge,8.385093167701863,25.57556151564688,2.4244384843531215
91,13.0,8,351.0,158,4363,13.0,73,American,ford ltd,ford,18.06020066889632,11.91524445894694,1.0847555410530596
274,21.6,4,121.0,115,2795,15.7,78,European,saab 99gle,saab,10.869565217391303,26.963536451564988,-5.363536451564986
318,37.0,4,119.0,92,2434,15.0,80,Asian,datsun 510 hatchback,datsun,6.345475910693302,30.353193428101957,6.646806571898043
380,25.0,6,181.0,110,2945,16.4,82,American,buick century limited,buick,9.391304347826088,28.799862393690777,-3.799862393690777
114,15.0,8,350.0,145,4082,13.0,73,American,chevrolet monte carlo s,chevrolet,15.652173913043477,13.578719748777939,1.4212802512220613
189,22.0,6,225.0,100,3233,15.4,76,American,plymouth valiant,plymouth,10.67193675889328,21.44849094663827,0.5515090533617304
